round,client_11_removal_criterion,client_6_removal_criterion,client_23_removal_criterion,client_24_removal_criterion,client_9_removal_criterion,client_44_removal_criterion,client_37_removal_criterion,client_31_removal_criterion,client_47_removal_criterion,client_2_removal_criterion,client_42_removal_criterion,client_36_removal_criterion,client_43_removal_criterion,client_7_removal_criterion,client_5_removal_criterion,client_25_removal_criterion,client_12_removal_criterion,client_14_removal_criterion,client_45_removal_criterion,client_21_removal_criterion,client_26_removal_criterion,client_1_removal_criterion,client_8_removal_criterion,client_27_removal_criterion,client_29_removal_criterion,client_48_removal_criterion,client_13_removal_criterion,client_32_removal_criterion,client_0_removal_criterion,client_17_removal_criterion,client_16_removal_criterion,client_15_removal_criterion,client_18_removal_criterion,client_39_removal_criterion,client_46_removal_criterion,client_20_removal_criterion,client_34_removal_criterion,client_33_removal_criterion,client_41_removal_criterion,client_35_removal_criterion,client_10_removal_criterion,client_22_removal_criterion,client_49_removal_criterion,client_28_removal_criterion,client_38_removal_criterion,client_40_removal_criterion,client_4_removal_criterion,client_30_removal_criterion,client_3_removal_criterion
1,0.5263965129852295,0.3158721923828125,0.617020845413208,0.4300210475921631,0.35932135581970215,0.43924856185913086,0.2774178981781006,0.6130867004394531,0.4305229187011719,0.5211520195007324,0.3022885322570801,0.18530797958374023,0.3863539695739746,0.5250341892242432,0.0980978012084961,0.15433263778686523,0.3949770927429199,0.12274670600891113,0.23108506202697754,0.4806711673736572,0.38089895248413086,0.903740406036377,0.3275153636932373,0.5248703956604004,0.33472728729248047,0.5126566886901855,0.47333812713623047,0.49007534980773926,1.0,0.46573519706726074,0.2414259910583496,0.22626972198486328,0.0838155746459961,0.1931443214416504,0.3812580108642578,0.4697387218475342,0.7371928691864014,0.4653141498565674,0.0,0.25588345527648926,0.31176185607910156,0.6842195987701416,0.31162071228027344,0.5512514114379883,0.311826229095459,0.17812466621398926,0.29703497886657715,0.2655017375946045,0.4809408187866211
2,0.32210840582847594,0.4420640558004379,0.5603350847959518,0.4196781724691391,0.28866683840751645,0.27220698595046994,0.2058815687894821,0.5841793268918991,0.30374710261821747,0.37492028176784514,0.17842938601970673,0.18108550310134888,0.24984521269798282,0.34712275564670564,0.0984229117631912,0.12402315735816957,0.31216126084327694,0.1363024830818176,0.12709678411483763,0.44974485933780667,0.36991742551326756,1.5470571607351302,0.2188373774290085,0.4656978517770767,0.24952148199081417,0.35211782455444335,0.28350501656532284,0.44342620074748995,1.5648102134466173,0.34214935898780824,0.16080010235309602,0.1847117632627487,0.07197891473770142,0.20017303228378294,0.2726935982704162,0.4727749019861221,0.5769314438104629,0.414093479514122,0.02542354166507721,0.2950998097658157,0.26476248204708097,0.6284935861825943,0.27474142909049987,0.5563311487436293,0.23012179732322693,0.11975354850292204,0.1877526193857193,0.30849285423755646,0.47529812157154083
3,0.37110946178436277,0.5125816613435745,0.6879557877779007,0.5256503224372864,0.3763272315263748,0.35492525100708006,0.25281695425510403,0.6272958844900132,0.3891465783119202,0.5027089059352875,0.29976128041744227,0.20784397721290587,0.3226444095373154,0.5102505594491957,0.1646751344203949,0.2335515111684799,0.3489016234874725,0.14687194526195527,0.13865103721618652,0.5810176700353623,0.43405522406101227,2.067639657855034,0.2877823680639267,0.5747663795948028,0.28175809681415553,0.3684047400951385,0.31481518447399137,0.5564220100641251,2.1815672546625136,0.37248152196407314,0.19111913144588472,0.23746656775474548,0.07764105200767517,0.29483819305896763,0.3108808785676956,0.590421411395073,0.6977374881505967,0.5305402010679245,0.03766329884529114,0.34898089468479154,0.36680217385292047,0.737569037079811,0.3591301590204239,0.6646233350038528,0.34630654156208035,0.13702514469623564,0.28694004416465757,0.4064508944749832,0.6192972153425217
4,0.39172103106975553,0.5741746515035628,0.7654403537511826,0.6149228930473327,0.38791352808475493,0.3442624747753143,0.22752357721328734,0.6466188102960586,0.4612652063369751,0.5360539674758912,0.3436441749334335,0.2157906264066696,0.34237192273139955,0.5322311073541641,0.1409810960292816,0.24860640466213224,0.3558121472597122,0.23725287318229674,0.20188247859477995,0.6866125255823136,0.4609121114015579,2.682599553465843,0.3058022141456604,0.6418685495853425,0.3017406612634659,0.43790826499462127,0.3183213919401169,0.619129267334938,2.779891550540924,0.4208409070968628,0.1858494758605957,0.30012193322181696,0.11398201584815978,0.33727639913558954,0.3662756085395813,0.6501388818025589,0.7453515857458114,0.5863101571798325,0.051082730293273926,0.419364258646965,0.4283121645450592,0.8441466897726059,0.45184498429298403,0.759486922621727,0.35089415311813354,0.14052061140537261,0.30208963453769677,0.4624702006578445,0.7070944756269455
5,0.4053551763296127,0.6297775834798813,0.9640098422765732,0.6828822582960128,0.4473888218402862,0.39484879970550535,0.2662708818912506,0.7575653821229935,0.4873287886381149,0.6271050602197646,0.38530764281749724,0.24516799151897428,0.4244215160608292,0.5685554891824722,0.22728846967220304,0.25479654669761653,0.4737489014863968,0.2872850805521011,0.20574058592319489,0.7730674654245376,0.60755555331707,3.1295897275209428,0.4081912696361542,0.7311799734830856,0.3352064728736877,0.5056845158338547,0.3837493538856506,0.7394875019788741,3.3798916757106783,0.4905562311410904,0.2324560046195984,0.3650348097085953,0.17609977126121523,0.42470275461673734,0.4533873587846756,0.7541338115930557,0.929734382033348,0.6708773225545882,0.10434208810329437,0.48728700578212736,0.41347437202930454,0.9517304092645645,0.4756740301847458,0.864400914311409,0.46289198100566864,0.13599319159984588,0.3566671907901764,0.5560523301362991,0.8245259314775467
6,0.47944602370262146,0.744245547056198,1.1228021442890166,0.8593725502490998,0.5200428247451783,0.45506420731544495,0.3436329901218414,0.804887306690216,0.6371743917465209,0.7089067161083221,0.5079108953475951,0.31357683539390563,0.468199360370636,0.6999428391456604,0.2039325952529907,0.3811222732067108,0.4662465095520019,0.3144462943077087,0.3295847773551941,0.9200771033763885,0.7624679982662201,3.8044441342353816,0.39224056005477903,0.8215424537658691,0.31332698464393616,0.6010966539382935,0.48598902821540835,0.7961217880249023,3.863895928859711,0.5408041417598725,0.2236256420612335,0.4985405921936035,0.26342499256134033,0.41523213386535646,0.5767331242561341,0.9557643413543702,1.0092151165008545,0.8392851233482361,0.08044694066047668,0.665289044380188,0.5205037236213683,1.0167072713375092,0.6593131124973297,1.0334836781024934,0.4598372995853424,0.2364457905292511,0.4754514157772064,0.6880824387073516,1.0029340386390686
7,0.4843612611293792,0.9025316178798676,1.2306423366069792,0.8847234547138214,0.5090823352336884,0.46783363819122314,0.3744645953178406,0.885958468914032,0.6908085227012634,0.8088258147239685,0.5705165565013885,0.3030058860778808,0.4419741868972778,0.8567274749279021,0.29142837524414056,0.3849292993545532,0.6901664853096008,0.4127428114414215,0.4302216649055481,1.0151926934719087,0.8836635887622833,4.396860837936401,0.5255330860614776,0.9007436513900756,0.38616310358047484,0.6592035591602324,0.5075252830982208,0.985640001296997,4.496156692504883,0.5377174556255341,0.2379009962081909,0.551564210653305,0.22025668025016784,0.4691106081008911,0.5792654812335968,1.0158696949481965,1.1942710518836974,0.8744991183280945,0.16209150552749632,0.7745895862579346,0.5647536695003509,1.2472569644451141,0.6293008208274841,1.2005915403366088,0.5567434728145599,0.23980325460433957,0.40619153976440425,0.8599918246269226,1.1224684119224548
8,0.5130395710468292,0.9916194438934326,1.4122644662857056,1.0040015876293182,0.5917616307735443,0.5366149187088012,0.4011167705059051,1.0848135948181152,0.6949560582637786,0.928232079744339,0.5858026921749115,0.37771562337875364,0.5649387300014495,0.9118040561676025,0.24850134849548336,0.43761571645736697,0.6849289536476134,0.5137725114822388,0.4775311291217804,1.184272861480713,0.9938857913017273,4.996860659122467,0.5683011114597321,0.994832855463028,0.3867626845836639,0.6342232942581177,0.546222823858261,1.0402589976787566,4.825396025180816,0.6106370985507965,0.272353333234787,0.587557178735733,0.32439373135566707,0.6444804310798645,0.7398818492889404,1.2236342668533324,1.2256633162498474,1.0443507373332976,0.15037808418273926,0.8048707902431488,0.5880384862422944,1.3486801445484162,0.7881514310836792,1.3251974642276763,0.6579711258411407,0.26843929290771484,0.5138566017150878,1.0577133655548097,1.192605096101761
9,0.614030796289444,1.148801451921463,1.5389184176921844,1.2052629709243774,0.7338513672351837,0.6552478790283203,0.37729131579399106,1.1850111365318299,0.9086348235607147,1.0482413768768308,0.8068054378032684,0.48325315713882444,0.698428201675415,1.0834425568580626,0.284071809053421,0.5558728218078614,0.8728549182415009,0.6038222253322602,0.5534456253051758,1.3638370692729949,1.1315662443637848,5.596860849857331,0.5654877126216888,1.1344756841659545,0.5110232412815093,0.7407643556594848,0.608627337217331,1.1668022453784943,5.36746232509613,0.7477983117103577,0.3903131902217865,0.7670791447162628,0.34814310669898985,0.6849416494369507,0.8468904852867126,1.45005863904953,1.4753090202808379,1.135214054584503,0.20618445873260496,1.0627845227718353,0.7307713449001312,1.6088446855545042,0.8698388338088988,1.5339011788368224,0.8332801401615142,0.30525112748146055,0.6331663250923157,1.146046656370163,1.4933255970478057
10,0.6367427229881287,1.3102410137653349,1.717862868309021,1.3545705258846283,0.7429519534111022,0.7689406394958496,0.38002678155899045,1.247198361158371,1.0292316019535064,1.1764290869235992,0.7955638587474823,0.5702889144420623,0.801629638671875,1.0953287601470945,0.43626590371131896,0.5839839994907379,0.9924008727073669,0.5919801294803619,0.5643760919570923,1.4857755780220032,1.295901036262512,6.196860659122467,0.6334861636161804,1.2772585928440094,0.5377547323703765,0.7927423417568206,0.7939943075180054,1.399832159280777,5.643742370605469,0.8678008377552032,0.4259782910346985,0.7946364760398864,0.4704268991947174,0.7448204636573792,0.9206529676914215,1.5005722165107727,1.6601633250713348,1.2881463468074796,0.31937764286994935,1.0488404333591461,0.7692612886428833,1.7101274132728577,1.0056978583335878,1.8512730598449707,0.7728307545185089,0.3794476449489594,0.8265456616878509,1.2307209730148314,1.6747373044490814
