round,client_22_removal_criterion,client_8_removal_criterion,client_95_removal_criterion,client_42_removal_criterion,client_31_removal_criterion,client_90_removal_criterion,client_80_removal_criterion,client_70_removal_criterion,client_50_removal_criterion,client_91_removal_criterion,client_49_removal_criterion,client_25_removal_criterion,client_23_removal_criterion,client_87_removal_criterion,client_47_removal_criterion,client_20_removal_criterion,client_4_removal_criterion,client_32_removal_criterion,client_39_removal_criterion,client_58_removal_criterion,client_65_removal_criterion,client_83_removal_criterion,client_53_removal_criterion,client_21_removal_criterion,client_9_removal_criterion,client_94_removal_criterion,client_11_removal_criterion,client_68_removal_criterion,client_26_removal_criterion,client_60_removal_criterion,client_63_removal_criterion,client_27_removal_criterion,client_24_removal_criterion,client_78_removal_criterion,client_97_removal_criterion,client_81_removal_criterion,client_62_removal_criterion,client_29_removal_criterion,client_79_removal_criterion,client_28_removal_criterion,client_13_removal_criterion,client_40_removal_criterion,client_98_removal_criterion,client_2_removal_criterion,client_1_removal_criterion,client_45_removal_criterion,client_57_removal_criterion,client_6_removal_criterion,client_72_removal_criterion,client_30_removal_criterion,client_99_removal_criterion,client_76_removal_criterion,client_37_removal_criterion,client_36_removal_criterion,client_67_removal_criterion,client_10_removal_criterion,client_88_removal_criterion,client_43_removal_criterion,client_55_removal_criterion,client_59_removal_criterion,client_16_removal_criterion,client_86_removal_criterion,client_15_removal_criterion,client_93_removal_criterion,client_56_removal_criterion,client_12_removal_criterion,client_0_removal_criterion,client_82_removal_criterion,client_92_removal_criterion,client_35_removal_criterion,client_51_removal_criterion,client_84_removal_criterion,client_71_removal_criterion,client_3_removal_criterion,client_7_removal_criterion,client_38_removal_criterion,client_14_removal_criterion,client_69_removal_criterion,client_18_removal_criterion,client_74_removal_criterion,client_34_removal_criterion,client_48_removal_criterion,client_73_removal_criterion,client_77_removal_criterion,client_41_removal_criterion,client_17_removal_criterion,client_52_removal_criterion,client_44_removal_criterion,client_89_removal_criterion,client_46_removal_criterion,client_75_removal_criterion,client_61_removal_criterion,client_64_removal_criterion,client_54_removal_criterion,client_85_removal_criterion,client_66_removal_criterion,client_33_removal_criterion,client_96_removal_criterion,client_5_removal_criterion
1,0.13834691047668457,0.40025925636291504,0.5364847183227539,0.25385284423828125,0.7473592758178711,0.3983750343322754,0.5382485389709473,0.04071211814880371,0.03505682945251465,0.6858353614807129,0.044068098068237305,0.12008857727050781,0.19908618927001953,0.5947959423065186,0.8076179027557373,0.037134647369384766,0.15478086471557617,0.35050106048583984,0.43347811698913574,0.20187830924987793,0.3864927291870117,0.5692801475524902,0.10024809837341309,0.17997956275939941,0.5255153179168701,0.558161735534668,0.6551480293273926,0.6004295349121094,0.224806547164917,0.029451847076416016,0.3476717472076416,0.7988901138305664,0.21611690521240234,0.2630488872528076,0.8362307548522949,0.35808706283569336,0.5467402935028076,0.06942915916442871,0.31803464889526367,0.5413854122161865,0.553879976272583,0.2720153331756592,0.9656147956848145,0.28711628913879395,0.310899019241333,0.10755062103271484,0.5133349895477295,0.11394596099853516,0.31588053703308105,0.3009037971496582,0.2835526466369629,0.03835558891296387,0.10689640045166016,0.4071469306945801,0.3993961811065674,0.7875092029571533,0.2697010040283203,0.23478055000305176,0.11652159690856934,0.43300342559814453,0.4237964153289795,0.5522987842559814,0.6518368721008301,1.0,0.3822286128997803,0.5867915153503418,0.33293914794921875,0.6300761699676514,0.5969159603118896,0.4393174648284912,0.3069121837615967,0.7502963542938232,0.05428504943847656,0.02616286277770996,0.4394536018371582,0.26552844047546387,0.4952669143676758,0.5783867835998535,0.11704158782958984,0.005287885665893555,0.5169720649719238,0.14056992530822754,0.3781144618988037,0.10604214668273926,0.0,0.8553588390350342,0.1212613582611084,0.21526122093200684,0.725836992263794,0.32290005683898926,0.2329390048980713,0.4707317352294922,0.39681029319763184,0.28600072860717773,0.6300349235534668,0.36548519134521484,0.32052111625671387,0.8398983478546143,0.24818134307861328
2,0.2664589762687683,0.3089495301246643,1.166208529472351,0.35233780145645144,0.6045403897762299,1.1529186964035034,0.47355932593345645,0.14035176634788513,0.20909543037414552,1.171343445777893,0.18433344960212708,0.1372992843389511,0.3722824156284332,1.2336507976055144,0.6381288647651673,0.2426202714443207,0.18042790591716767,0.3639226913452148,0.342341411113739,0.22736684083938596,0.34898525476455683,1.2246356666088105,0.1369568556547165,0.274340945482254,0.45365255475044247,1.1874234914779662,1.363459724187851,0.4810003340244293,0.23709070682525635,0.14476988315582276,0.3670061111450196,0.6156691312789917,0.33510268330574033,0.2364865869283676,1.3335052788257598,0.9491690397262573,0.5572197914123536,0.11777297258377074,0.30217201113700864,0.5367957770824432,1.187369519472122,0.24120678305625914,1.5810881376266477,0.3146293699741363,1.0840750217437745,0.10209351480007171,0.48435021638870235,0.25967445373535153,0.2453951686620712,0.2860035181045532,1.0213047862052917,0.08591172695159913,0.08116755187511443,0.26823971569538113,0.450871080160141,1.2971424520015715,1.1928189456462859,0.24673517346382143,0.2863233983516693,0.47194995880126955,1.0406761467456818,1.1207734763622286,1.2260259211063385,1.5481939911842346,0.46427239775657647,1.1873271346092225,1.1004164397716523,1.3349213242530822,1.057960206270218,0.3482889503240585,0.31224423646926874,1.1902061164379119,0.16035901308059694,0.23225579261779786,0.45260438323020935,0.24793082475662231,1.1995980143547058,0.49691722393035886,0.1388064444065094,0.0355919748544693,0.48293522596359256,0.22165446281433107,0.36930513978004453,0.15870825946331024,0.0,1.4427715182304381,0.10324487984180451,0.23155952095985413,1.3136262178421019,0.2622186720371247,0.2116123765707016,0.46249080896377565,0.3206200629472732,0.34750698208808894,1.2636373698711394,0.36429741978645325,0.34267226457595823,1.3034692347049714,0.17424930930137633
3,0.34267254173755646,0.30397982001304624,1.6907342761754989,0.3260612070560455,0.6695625811815262,1.594916906952858,0.5025891840457916,0.16098529696464536,0.1534033715724945,1.6314609616994857,0.2098077416419983,0.16024317145347594,0.3988733381032944,1.6941352635622022,0.6428593069314956,0.3055419057607651,0.23403674662113189,0.46507550179958346,0.3775705188512802,0.2699293226003646,0.44232851564884185,1.7210114508867262,0.155230113863945,0.36575283110141754,0.5255434334278107,1.7132185429334639,1.8297126442193985,0.587948140501976,0.2876327306032181,0.10360904037952423,0.42608915865421293,0.7397447377443314,0.34336550533771515,0.24693368673324587,1.85649553835392,1.4212788075208664,0.6503805488348007,0.12348182201385499,0.3166204959154129,0.6622401505708694,1.685850629210472,0.23569746315479279,2.0721077233552934,0.29651603400707244,1.598236533999443,0.10306617617607117,0.6202930897474288,0.3196478873491287,0.2658543258905411,0.3787263005971908,1.4404703706502915,0.0800881564617157,0.08843783140182494,0.3737485557794571,0.42436078786849973,1.8202602833509445,1.5397223502397537,0.2809109091758728,0.3086346298456192,0.5453982621431351,1.5518940001726151,1.579155585169792,1.7743777304887771,2.1728634566068648,0.4916076958179474,1.7359698981046678,1.5270074635744095,1.8471880048513412,1.5876467198133466,0.42485089302062984,0.38044025003910065,1.6669642060995102,0.17370572984218596,0.2411835879087448,0.4939037591218948,0.29604534804821014,1.6843144863843917,0.5347582638263702,0.2001589924097061,0.02029273211956024,0.5523201078176498,0.20255937278270722,0.38319939970970157,0.16354589760303498,0.045403200387954715,1.9390014320611955,0.15945807695388792,0.2153459548950195,1.7938502162694931,0.321883562207222,0.27254631519317624,0.4754109531641006,0.422426700592041,0.3916124016046524,1.7387919515371322,0.4517932921648026,0.40014903843402866,1.844851431250572,0.2153103768825531
4,0.5073254078626632,0.3624990344047546,2.2452544957399367,0.40876883864402774,0.8263584405183791,2.0739711076021194,0.5795025825500487,0.22753489017486572,0.2730734050273895,2.139290109276771,0.31481111645698545,0.20247382819652557,0.5640565067529678,2.232302424311638,0.7619482785463333,0.4339662343263626,0.2965802311897278,0.5177198618650436,0.4452691584825516,0.392850199341774,0.5785765022039413,2.120379707217216,0.23750101923942565,0.4358972460031509,0.6586679756641388,2.1756810694932933,2.369199040532112,0.705437198281288,0.3775111228227615,0.24868519604206085,0.5117418199777604,0.850939717888832,0.46026982367038727,0.3295015960931778,2.392450287938118,1.8714442163705824,0.7460735231637955,0.16838994920253753,0.40219917595386506,0.7971524447202682,2.179075929522514,0.31361744105815886,2.566077521443367,0.3196237415075302,2.107637038826942,0.2497079998254776,0.7523760229349136,0.4583053201436997,0.2954580724239349,0.5048153430223464,1.8263414353132248,0.17766128182411192,0.133490651845932,0.4619196355342865,0.5199239492416382,2.3300909072160723,2.065155240893364,0.437276417016983,0.4400663644075393,0.7006845146417617,2.116292181611061,2.168049421906471,2.3171823114156718,2.7626317530870437,0.582557201385498,2.2901016920804973,2.0362870901823045,2.491196545958519,2.0563075631856913,0.49442274272441866,0.42746922075748445,2.1669014245271683,0.2449699193239212,0.40052694380283355,0.5815102010965347,0.36865356266498567,2.1121097654104233,0.6441975951194763,0.20549339056015015,0.10688104033470154,0.6781687349081039,0.23366261124610901,0.5066647708415984,0.2768104553222656,0.09989923238754272,2.5532357305288316,0.12902935445308686,0.3478589117527008,2.3559012502431873,0.41470088660717014,0.3432147055864334,0.6313669115304946,0.424852192401886,0.543114498257637,2.27767621576786,0.5064236491918563,0.501868823170662,2.399545660614967,0.25630863606929777
5,0.6328402489423752,0.46147658526897434,2.747613635659218,0.47114723622798915,0.9288488000631332,2.4843076020479202,0.6735192447900772,0.33722759187221524,0.36380672156810756,2.6452994614839556,0.38461882174015044,0.3267839044332504,0.7095615237951278,2.694613906741142,0.8826511532068252,0.5500561207532882,0.421698459982872,0.7071216970682144,0.659950652718544,0.555243507027626,0.6962510138750077,2.600361832976341,0.3040857702493667,0.6253963619470595,0.7188336879014969,2.7205736964941027,2.680495861172676,0.8256157785654068,0.467084601521492,0.267357662320137,0.6587136715650559,0.8878934472799301,0.6136756330728531,0.42955526411533357,2.8390994280576702,2.282293823361397,0.9712736338376998,0.29989615082740784,0.5060745388269424,0.9556717306375503,2.7012079924345014,0.3541357427835464,3.134468963742256,0.5040998250246048,2.5969300955533976,0.3558767944574356,0.8883266180753707,0.603194287419319,0.4425080567598343,0.6246496707201004,2.272245189547539,0.22085587084293365,0.1755785822868347,0.5395117074251174,0.6301473110914231,2.817821988463402,2.3985002666711805,0.5627977699041367,0.6235430747270583,0.8284641236066818,2.5574526518583296,2.686937925219536,2.8112215787172317,3.3045521706342695,0.8204027742147446,2.929054394364357,2.559167513251304,2.911667510867119,2.5316495567560198,0.6186865597963332,0.5823306173086166,2.623473259806633,0.35406649410724644,0.4909699648618698,0.6573843687772751,0.4710750311613083,2.7028431326150892,0.8019277065992355,0.2967791616916656,0.16532024443149565,0.823347219824791,0.36537151932716366,0.6020624428987502,0.3531134456396103,0.06581528782844544,3.060743495821953,0.21293627321720124,0.42252200543880464,2.8068819433450702,0.4821993082761764,0.4797124594449997,0.7683536261320114,0.5298818230628967,0.6939807087182999,2.7968713372945784,0.618859115242958,0.6319454699754715,2.976452907919884,0.31762065291404723
6,0.7331596821546554,0.4662265986204147,3.3218816787004473,0.5984498590230941,1.0285676568746567,2.990356573462486,0.7601816087961196,0.46249033510684967,0.3777048021554947,3.267454245686531,0.45680499970912936,0.36134603917598723,0.9242138296365737,3.2234433442354202,0.9472010821104049,0.6849847525358199,0.487342569231987,0.7858455210924148,0.7050766736268997,0.6664262920618057,0.7951770156621933,3.0488604873418805,0.28875864446163174,0.6665999263525009,0.7928706675767898,3.273144492506981,2.9676795989274978,0.857372036576271,0.6126428753137587,0.3295494943857193,0.7836042314767837,0.944875493645668,0.6554413408041,0.47170603573322295,3.3524643272161483,2.875650802254677,1.092074230313301,0.2734551161527634,0.5686619371175765,1.0501946657896042,3.11824668943882,0.4152241677045822,3.6680603355169294,0.5143667727708816,3.186429008841514,0.36036287248134613,0.9295759409666061,0.6010472565889359,0.4662147253751755,0.7385898739099502,2.649986818432808,0.2834607511758804,0.14686902463436124,0.5438760310411453,0.759263762831688,3.3651502043008805,2.737423542141914,0.5898144572973251,0.6536495238542556,0.9294281095266342,3.0690440863370894,3.2142671853303906,3.3101785033941264,3.900131818652153,0.8903747111558914,3.5245926707983015,3.0699774414300918,3.5100086361169818,2.963883766531944,0.6930774241685868,0.5984778076410293,3.189566698670387,0.3896366566419602,0.5690867215394974,0.777864071726799,0.548158112168312,3.2607750147581096,0.8915311604738235,0.36486006677150723,0.14623696506023406,0.9004599481821061,0.4675266236066818,0.6881681829690933,0.355510202050209,0.19276852011680604,3.595681354403496,0.20085531771183013,0.5365533202886581,3.4337758749723437,0.5124076336622237,0.4982710987329483,0.7860514730215072,0.6055228024721147,0.7291125863790512,3.3614076286554337,0.6851927012205123,0.7350828260183334,3.4962338000535964,0.3406624644994735
7,0.8576806128025055,0.48935350179672243,3.887704890966415,0.5527103662490844,1.1193176448345183,3.3113329648971557,0.8167518556118011,0.5228932917118073,0.39011297225952146,3.6920518457889555,0.5316945731639863,0.4269125580787659,1.0208011984825134,3.5742190539836884,1.001298713684082,0.8259732723236084,0.509982454776764,0.8508845150470734,0.7461741805076598,0.7627943158149719,0.8968167722225189,3.5393941760063172,0.3172514259815216,0.7313977658748627,0.8281297743320465,3.8227133572101595,3.463038498163223,0.9652092993259429,0.6535158574581147,0.38479431867599484,0.7564257860183716,1.1218104779720308,0.8703561007976531,0.5463952541351319,3.884687715768814,3.2586944162845612,1.2616510093212125,0.34375338554382323,0.606515109539032,1.126474994421005,3.5435451388359067,0.3893913686275482,4.296055942773819,0.5574317038059234,3.6209586441516874,0.4199674367904663,1.089109444618225,0.7334487318992615,0.4834685862064362,0.7773853659629821,3.0052143156528475,0.2481971263885498,0.15049980282783507,0.5506306886672974,0.8628539323806763,3.8150334775447847,3.189195680618286,0.5827121019363404,0.7739592373371124,1.02621374130249,3.232453590631485,3.712614685297012,3.9235795915126803,4.513127321004867,0.9876061677932738,4.0250025451183316,3.4908492147922514,3.762809145450592,3.435278522968292,0.7944505989551545,0.6989631414413452,3.601591926813126,0.3801355242729187,0.7459513247013091,0.7871709942817687,0.5523165166378021,3.7173496901988985,0.9351660788059235,0.36944501996040346,0.1407103657722473,1.0306756734848024,0.3980976939201355,0.7258145034313201,0.3723288238048553,0.13765825629234313,4.002603060007095,0.2753420531749725,0.5783417463302611,3.9966327607631684,0.5553481042385101,0.5607606887817383,0.8986949682235718,0.7335574090480804,0.8364470541477204,3.7116260349750516,0.8064199030399323,0.7863505780696869,4.101715511083603,0.3152589440345764
8,0.9934917986392975,0.6067946553230286,4.445779728889465,0.6128815770149231,1.191456139087677,3.7314601361751554,0.942822754383087,0.6945346236228942,0.5258649945259094,4.290050065517425,0.5833599150180816,0.5085104882717133,1.1481010794639588,4.078918635845184,1.0996938169002533,0.9426445543766021,0.4784334301948547,0.9276980221271515,0.8710505962371826,0.8618485689163208,1.02646262049675,3.930849623680115,0.3810612320899963,0.8753019452095031,0.9296056926250458,4.33249216079712,3.8572720408439634,1.0773641467094421,0.7837786257266999,0.4497352957725525,0.821480256319046,1.2438075840473175,0.86698899269104,0.6208401441574096,4.38481605052948,3.819789779186249,1.3506433904170991,0.3394871652126312,0.7077965795993805,1.3295261442661284,4.022080099582673,0.38846989870071413,4.812244939804076,0.7197641253471374,4.200609767436982,0.5282242298126221,1.2375151634216308,0.9189474284648895,0.53712420463562,0.9488027155399322,3.4184733510017393,0.33663095235824586,0.1838545083999634,0.6060440659523011,1.0116047382354738,4.40778284072876,3.518048810958862,0.7569931864738464,0.8609660506248473,1.2204039156436919,3.6742421686649323,4.2920489549636835,4.309529471397401,5.090419459342956,1.1165812730789184,4.581994497776031,4.081654822826385,4.485722213983536,3.955616748332977,0.8819174766540527,0.7882951200008392,4.24008321762085,0.38046435713768,0.8867648541927338,0.935139775276184,0.6520336329936981,4.200600266456603,1.091254323720932,0.4968821287155151,0.14129013419151307,1.0954798519611357,0.42030927538871765,0.795068871974945,0.5814113736152648,0.1729530930519104,4.527131676673889,0.2834080815315247,0.7372252583503722,4.590387415885925,0.6986304640769958,0.6320915639400482,1.0179093837738036,0.8021990478038789,0.9615935504436494,4.318690872192383,0.9934493362903595,0.9735049307346344,4.7167477846145625,0.4088818788528442
9,1.145053291320801,0.6937636733055115,5.032808423042297,0.6744284570217133,1.3312179267406463,4.096299791336059,1.0208548069000243,0.822382116317749,0.6397383511066437,4.77647374868393,0.6545299351215362,0.66624214053154,1.2608023047447203,4.444254922866821,1.2669537127017974,1.1216377019882202,0.6439956843852996,1.0214970767498015,0.9951977670192718,1.0185110330581666,1.204149305820465,4.396337652206421,0.4497588753700256,1.0251806259155274,1.0009744048118592,4.7977624297142025,4.071720290184021,1.2126381754875184,0.9131439268589019,0.4941976428031921,1.0431217074394226,1.399123704433441,1.0730489432811738,0.7202177822589874,4.888788795471191,4.316835939884186,1.5159091174602508,0.5033056318759919,0.7837227284908295,1.4839066803455352,4.391457998752594,0.456626695394516,5.3497363209724424,0.8058390378952026,4.609769880771637,0.675381177663803,1.3303110301494598,1.0626827955245972,0.5630939364433288,0.9762982666492462,3.807042169570923,0.29526451230049133,0.2772588014602661,0.7579830884933471,1.1540612995624542,4.917238843441009,3.931693410873413,0.7708088159561157,0.9740831971168518,1.2889274656772614,3.982867592573166,4.818583381175994,4.774351894855499,5.641710364818573,1.3659272670745848,5.208370471000671,4.5547390341758724,5.013431787490845,4.460784411430359,0.9763620793819427,0.8744580805301666,4.635931491851807,0.4909740328788757,1.0214772164821624,0.9695489466190338,0.7292457699775696,4.60548483133316,1.2036606073379517,0.6479879796504974,0.28445116281509397,1.2970877408981323,0.49781776666641236,0.9510147273540496,0.6568659007549286,0.27496901750564573,4.9965734481811515,0.3156577944755554,0.7861869990825653,5.141886532306671,0.7219602525234222,0.7516980409622193,1.126815140247345,0.9344799280166626,1.0944781005382536,4.759247636795044,1.1441438138484954,1.1133839190006256,5.314735317230224,0.3759738147258758
10,1.333217853307724,0.8336276710033416,5.568495136499405,0.6402996897697448,1.5027334928512572,4.464748150110244,1.1916614353656767,1.11214959025383,0.7606813430786132,5.442490416765213,0.8298856854438781,0.7356608629226684,1.442250210046768,4.885536414384842,1.2923062384128572,1.2868386566638945,0.7956278383731842,1.2856849074363708,1.1053457677364351,1.185837197303772,1.4377377152442932,4.670279812812805,0.613009226322174,1.2819890856742857,1.2145317494869232,5.2344713628292086,4.5136008083820345,1.430319160223007,1.1176810681819913,0.5822576999664306,1.230296939611435,1.6042892932891846,1.2352878093719482,0.8689621269702911,5.312031263113022,4.943685811758042,1.702486079931259,0.5795963406562804,0.9997528314590455,1.7291147828102111,4.905278831720351,0.558033263683319,5.9600546777248375,0.9495693027973175,5.133021825551986,0.8056805670261382,1.537883585691452,1.2032081484794617,0.7520292341709137,1.242021518945694,4.190691858530044,0.29944256544113157,0.3122624695301056,0.8403839409351349,1.3083949625492097,5.522202724218368,4.14165153503418,0.820406812429428,1.181989985704422,1.479495745897293,4.47680054306984,5.435463088750839,5.268470376729965,6.129537683725356,1.554129773378372,5.572688394784928,5.006272774934769,5.492704051733017,4.92688335776329,1.1171493351459503,0.987538331747055,5.239307647943496,0.5279671013355254,1.12410991191864,1.0617763578891752,0.933618837594986,5.069616574048996,1.4122059047222137,0.7591381251811982,0.4160945832729339,1.569563567638397,0.6945508360862731,1.058933389186859,0.8074704945087433,0.3337289750576019,5.476550287008285,0.4203079640865326,0.9195727467536926,5.662052506208419,0.8197524964809417,0.8818114578723908,1.2548229217529296,1.00636550784111,1.2306684732437132,5.194378107786179,1.3715909719467163,1.2716474771499635,5.881149393320084,0.5170450091361999
