round,client_13_removal_criterion,client_8_removal_criterion,client_2_removal_criterion,client_18_removal_criterion,client_10_removal_criterion,client_0_removal_criterion,client_11_removal_criterion,client_6_removal_criterion,client_16_removal_criterion,client_3_removal_criterion,client_17_removal_criterion,client_4_removal_criterion,client_12_removal_criterion,client_9_removal_criterion,client_5_removal_criterion,client_14_removal_criterion,client_15_removal_criterion,client_1_removal_criterion,client_7_removal_criterion
1,0.25116777420043945,0.5586555004119873,0.4319518804550171,0.0,0.7255692481994629,0.6251537799835205,0.19878113269805908,0.277790904045105,0.22992801666259766,0.10990643501281738,0.8037922382354736,0.7390003204345703,0.6956710815429688,0.7815709114074707,0.21899747848510742,0.5546941757202148,0.5950589179992676,1.0,0.6085071563720703
2,0.13814227581024172,0.3997883230447769,0.479873326420784,0.053079360723495485,0.5103224128484726,1.0903136342763902,0.2815774738788605,0.35199184715747833,0.29402559697628017,0.2951945871114731,0.6389771908521652,0.4783667087554932,0.5561490595340728,0.56867256462574,0.13912750780582428,0.4007633090019226,0.4757276624441147,1.6,0.5318751841783523
3,0.2092805474996567,0.3836602419614792,0.522885838150978,0.04595202505588532,0.5421542525291443,1.508186948299408,0.26474567651748654,0.44098749458789827,0.2749408543109894,0.3751163631677627,0.6114494055509567,0.5457249402999877,0.6319575011730193,0.6590642780065536,0.1477960765361786,0.4519635081291199,0.4833145707845688,2.2,0.6164822727441788
4,0.22711995244026184,0.4380834728479385,0.6541404694318772,0.07062150835990906,0.6243754863739013,2.118520900607109,0.309694716334343,0.6998169004917144,0.25948595702648164,0.5700795590877533,0.6681004732847214,0.6114873766899108,0.7420867323875427,0.6866703659296035,0.21760429441928864,0.5415890634059906,0.5266215741634368,2.8,0.7367360293865204
5,0.2874750137329102,0.4870976209640503,0.7446636646986008,0.05682664811611175,0.6397837817668914,2.7137062728404997,0.3400818228721618,0.7269290387630463,0.3555092990398407,0.6978952288627625,0.7200614809989929,0.681620979309082,0.7791592806577683,0.7385860502719879,0.2695160210132599,0.558566653728485,0.5911099523305893,3.4,0.8270511925220488
6,0.2656917154788971,0.5455814331769943,0.8101334869861603,0.07280029356479643,0.7505926758050918,3.1825378298759457,0.36692483723163605,0.9166298866271972,0.3108998119831085,0.8095457553863525,0.7565125256776809,0.6769920289516449,0.8657720118761063,0.7677161633968352,0.3037275165319443,0.6002105921506882,0.5923781752586365,4.0,0.9552203297615051
7,0.3101150423288345,0.5263282656669617,0.9261879980564117,0.09498705565929412,0.788283199071884,3.8508654594421388,0.40556895732879633,1.0537264823913575,0.3153607606887817,0.9603158831596375,0.8561797916889191,0.7314915359020233,0.8568730294704437,0.8557930499315262,0.2916187018156052,0.7556224137544632,0.6959009617567062,4.418580460548401,1.0597974479198453
8,0.4081782400608063,0.5978611052036286,1.0578409850597381,0.18050249218940734,0.8172301113605499,4.443803310394287,0.47453811168670657,1.225958204269409,0.3704074144363403,1.0445932507514955,0.9166597247123718,0.782552284002304,0.9894091367721557,0.885578840970993,0.28649028539657595,0.7980205297470093,0.6941718518733978,5.009481841325759,1.2135946869850156
9,0.42271811366081236,0.6112525284290313,1.108254462480545,0.1504551112651825,0.892480880022049,5.04380343556404,0.5522261917591094,1.3233427941799163,0.34419472217559816,1.178463715314865,0.9108369767665863,0.8272085487842559,1.0112445771694183,0.8940184116363525,0.3033596098423004,0.7742878258228302,0.7656778752803802,5.517406886816025,1.2697780728340147
10,0.4954253315925598,0.7578876346349716,1.3125805526971817,0.32541626393795015,0.9782947212457657,5.598236140608787,0.6922448724508286,1.455900254845619,0.34681599140167235,1.3554209500551224,1.0188408583402633,0.9473640412092208,1.1511794835329057,1.087254098057747,0.4518882125616073,0.9045123249292373,0.8745046347379684,6.174243998527526,1.4126405864953995
